卡牌名称,胜率,选取率,略过率
锻打成型,46.4,30.9,69.1
辉光,46.4,46.1,53.9
铸墙,45.9,32.4,67.6
暴涨,54.5,8.9,91.1
子程序,54.4,33.9,66.1
编译冲击,53.4,12.8,87.2
白噪音,53.2,50.5,49.5
吞噬暗影,52.8,26.2,73.8
陨石打击,52.7,12.7,87.3
循环,52.4,33.0,67.0
雷霆,52.3,35.1,64.9
高速脱离,52.3,10.0,90.0
双倍能量,52.3,37.0,63.0
扩容,50.6,37.8,62.2
冰電风暴,50.5,16.8,83.2
适应打击,50.3,17.9,82.1
弹幕齐射,50.1,4.5,95.5
多重释放,49.4,16.4,83.6
热修复,48.7,36.8,63.2
漆黑,48.5,24.5,75.5
混沌,47.7,25.3,74.7
污秽攻击,47.4,5.4,94.6
玻璃工艺,47.4,20.9,79.1
光束射线,47.4,12.2,87.8
冷光,0.0,0,0
心灵腐化,0.0,0,0
仆从俯冲,0.0,0,0
仆从捐躯,0.0,0,0.0
仆从打击,0.0,0,0.0
小刀,0.0,0,0
懒情,0.0,0,0
衰朽,0.0,0.0,0.0
炼制药水,70.1,0.6,99.4
集结,69.8,1.2,98.8
拟态,69.5,1.6,98.4
未掘宝石,67.7,1.4,98.6
乱战,66.8,0.7,99.3
大奖,65.8,0.5,99.5
震荡波,65.6,2.5,97.5
抱团,64.9,6.9,93.1
自动化,64.8,4.8,95.2
秘密武器,64.4,0.4,99.6
妙计,63.4,5.3,94.7
星尘,51.9,20.8,79.2
辐射,51.7,28.5,71.5
豪赌,51.4,42.6,57.4
环绕轨道,51.3,34.1,65.9
轰击,51.0,22.1,77.9
粒子墙,50.6,30.8,69.2
剑圣,50.5,27.5,72.5
既定事项,50.3,24.9,75.1
中子护盾,50.1,24.3,75.7
星位序列,49.8,57.1,42.9
冲锋！！,49.6,30.9,69.1
缓冲,61.4,35.5,64.5
机器学习,61.2,44.9,55.1
超频,61.0,32.0,68.0
超临界态,60.7,51.0,49.0
快速检索,59.5,41.5,58.5
内核加速,58.2,31.5,68.5
模组改造,58.2,45.7,54.3
迭代,57.9,21.4,78.6
信号增强,57.7,33.7,66.3
化废为宝,57.4,35.0,65.0
创造性AI,57.2,47.5,52.5
挽歌,57.6,39.9,60.1
吞噬生命,57.3,52.7,47.3
清淤,57.0,21.1,78.9
领会,56.7,29.6,70.4
死者苏生,56.4,32.0,68.0
预借时间,55.9,40.5,59.5
弱化之触,55.3,24.5,75.5
吊杀,55.1,25.8,74.2
灵魂风暴,54.8,30.9,69.1
亡灵精通,54.8,39.9,60.1
刺破幕,54.7,10.7,89.3
